track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,danceability,energy,speechiness,instrumentalness,tempo
3gw91o4at6nDzewF9Hxzs7,No Excuses,Bru-C,65,196434,['nottingham hip hop'],69,No Excuses,0.678,0.732,0.0465,1.56e-05,87.495
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,87,33041053,"['dance pop', 'pop', 'r&b']",92,RENAISSANCE,0.78,0.689,0.141,9.69e-06,115.042
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,85,2694509,['afrofuturism'],87,Gemini Rights,0.686,0.494,0.0355,5.8e-05,168.946
1DxRMgLoWXgmIFF2Unp5pD,Packs and Potions,HAZEY,52,31020,['scouse rap'],60,Packs and Potions,0.872,0.525,0.419,1.76e-06,144.941
5RobAV5ROH5KARimi7n3cO,messy in heaven,venbee,65,32058,[],79,messy in heaven,0.62,0.837,0.13,0.000242,172.081
2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,71,337040,[],84,KU LO SA - A COLORS SHOW,0.649,0.655,0.0652,0.0,92.9
0DeCgH8St1bnHVry9gecMp,BMW,Bad Boy Chiller Crew,61,267321,['indie hip hop'],58,BMW,0.726,0.818,0.136,0.0,138.01
4svaKoxMMP7ImmKrD5hfQu,Victoria's Secret,Jax,66,386439,['gen z singer-songwriter'],78,Victoria’s Secret,0.586,0.556,0.0592,0.0,167.018
6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth,80,2617949,"['indie poptimism', 'pop']",84,Euphoria (Original Score from the HBO Series),0.574,0.664,0.0409,0.0553,144.654
6A3SB2C4U6JtCavQOXLYNN,Je M'appelle,Benzz,65,58634,[],79,Je M'appelle,0.807,0.75,0.237,0.0,141.176
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,85,14753232,"['piano rock', 'pop']",94,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",0.704,0.797,0.0475,0.000745,139.994
59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,74,3928682,"['pop', 'post-teen pop']",84,Boyfriend,0.345,0.612,0.0608,0.0,179.773
0P88fVbvRQGgRQN1GulQNy,Glad U Came (feat. ZieZie),Liilz,56,24058,['melodic drill'],67,Glad U Came (feat. ZieZie),0.75,0.531,0.0513,0.0,139.997
1I4lCSP69P74nU3a6Su5L2,Jiggle Jiggle,Duke & Jones,58,48574,['uk dance'],73,Jiggle Jiggle,0.864,0.412,0.273,0.00087,99.992
7z3NjKBqjv3d1ykXCFQxaT,Fat Funny Friend,Maddie Zahm,61,251426,"['alt z', 'pop']",71,Fat Funny Friend,0.498,0.452,0.124,0.0,107.728
1LIvdWNdKmHvU0FJvw2diN,Big City Life,Luude,68,80024,['aussietronica'],77,Big City Life,0.615,0.902,0.0859,3.91e-05,87.03
4h4QlmocP3IuwYEj2j14p8,Sunroof,Nicky Youre,73,94588,['pop'],88,Sunroof,0.768,0.714,0.0401,0.0,131.443
0UIaM3C7aw2ao6ZDatzEir,Friendly Sex,Caity Baser,51,46437,['uk pop'],53,Friendly Sex,0.934,0.608,0.263,0.0,123.948
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,76,2540352,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",89,Safe Haven,0.609,0.692,0.0259,0.0,116.959
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,84,10383322,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",84,channel ORANGE,0.913,0.603,0.226,0.000503,123.061
73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,83,2061457,['alternative hip hop'],93,Miss You,0.587,0.742,0.0529,0.00107,145.007
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,87,26922557,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",86,Super Freaky Girl,0.95,0.891,0.241,1.77e-05,133.01
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,Armani White,71,199188,['indie hip hop'],85,BILLIE EILISH.,0.9,0.509,0.257,1.67e-06,100.007
6Jkm5kUldvIqxzI1Pa7nXH,10 Things I Hate About You,Leah Kate,64,137532,"['alt z', 'pop']",77,10 Things I Hate About You,0.544,0.786,0.0501,0.0,153.967
5gpyyqA9WZyWu24ESUzrkk,LA Leakers Freestyle,Central Cee,83,2131416,['melodic drill'],73,LA Leakers Freestyle,0.797,0.832,0.226,5e-06,142.001
4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),Yung Gravy,74,1536629,['minnesota hip hop'],80,Betty (Get Money),0.723,0.772,0.0792,1.15e-05,102.004
1M8t1j3Kv2qp97bdq5q4Vl,Rainfall (Praise You),Tom Santa,59,4715,[],75,Rainfall (Praise You),0.767,0.862,0.0606,0.0092,128.039
5mfGEs5n647v4WE3K5YmBy,on & on,piri,60,37755,[],65,froge.mp3,0.682,0.762,0.0526,0.0195,87.032
7u3w4fQhulC1etJbdfmv3Q,IFTK,Tion Wayne,72,732215,['london rap'],71,IFTK,0.614,0.82,0.226,8.18e-05,146.235
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,75,692702,"['bedroom pop', 'bedroom soul', 'pop']",86,Ivory,0.697,0.336,0.0424,0.00528,82.029
7CH99b2i1TXS5P8UUyWtnM,Them Changes,Thundercat,74,1025516,['afrofuturism'],77,Drunk,0.657,0.562,0.0601,0.00143,81.657
2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),Lizzo,79,5263886,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",81,Special,0.721,0.769,0.105,0.0,155.932
5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,Harry Styles,90,25087969,['pop'],83,Harry's House,0.72,0.715,0.04,0.0568,107.041
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,99,64643352,['pop'],86,reputation,0.615,0.534,0.0386,1.76e-05,135.917
3nhGk6VnrDHy67pXvMhdPa,SPACE MAN,Sam Ryder,62,305889,['uk pop'],66,SPACE MAN,0.467,0.828,0.0489,0.0,79.978
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,88,23644417,"['dance pop', 'pop']",86,Vegas (From the Original Motion Picture Soundtrack ELVIS),0.801,0.601,0.255,3.23e-05,159.969
2tmLHLWZx2xSQ0kXzfO42W,Ronaldo (SEWY),IShowSpeed,68,490712,[],69,Ronaldo (SEWY),0.597,0.813,0.462,0.0,165.037
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,74,746093,"['folk-pop', 'pop']",87,Tell Me It's Real (Expanded Edition),0.4,0.479,0.0308,2.14e-06,166.159
5hwQBJojbljFjxg7t49r03,low down,venbee,65,32058,[],67,low down,0.671,0.428,0.122,0.0927,159.993
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,72,261890,[],88,Chit Chat,0.572,0.839,0.0377,0.00976,143.969
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,96,55040409,"['canadian contemporary r&b', 'canadian pop', 'pop']",88,Starboy,0.582,0.525,0.0627,0.0,133.249
5wwPdWKbDEiybmWkZqsGGn,"Next Up - S4-E2, Pt. 1",JBEE,66,84869,"['chill drill', 'melodic drill']",76,Next Up - S4-E2,0.54,0.585,0.309,0.0,100.289
5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,Beyoncé,87,33041053,"['dance pop', 'pop', 'r&b']",78,RENAISSANCE,0.693,0.887,0.0795,2.71e-06,114.942
4Me1GwI6kq6ZVLVcyMT7VC,Pretty One,Koomz,53,57641,['uk hip hop'],68,Pretty One,0.737,0.669,0.0789,0.0,102.112
1GCbc1vpkZA2zhjsSFhmHT,Fuck You,Lily Allen,69,1938840,"['dance pop', 'pop']",57,"It's Not Me, It's You",0.775,0.904,0.0437,0.000303,130.009
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,87,7682157,['viral pop'],89,Glimpse of Us,0.44,0.317,0.0531,4.78e-06,169.914
7AVyve7cFYTd51ha5i9kE2,Down Under (feat. Colin Hay),Luude,68,80024,['aussietronica'],70,Down Under (feat. Colin Hay),0.308,0.861,0.172,0.00103,171.966
1BkY0N8ChFk2mdLbAUu8ZK,Pass The Dutchie,Musical Youth,58,64315,['uk reggae'],73,Anthology,0.805,0.418,0.0979,0.0,149.724
6pjJUY0O4XgrYFGf9SwD7u,Wet Dream,Wet Leg,64,404723,['indie rock'],62,Wet Dream,0.721,0.697,0.0284,0.0106,130.051
6gdDu39yYqPcaTgCwYEW8i,Turn On The Lights again.. (feat. Future),Fred again..,77,465588,"['edm', 'house']",76,Turn On The Lights again.. (feat. Future),0.683,0.887,0.0497,0.446,132.007
7z5G2LOdV8okZn4yWg3q5g,Night Away (Dance) (feat. Tion Wayne),A1 x J1,67,177698,"['chill drill', 'melodic drill']",73,Night Away (Dance) (feat. Tion Wayne),0.706,0.552,0.0833,0.0,142.037
58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,88,17572820,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",81,Favourite Worst Nightmare (Standard Version),0.52,0.852,0.0543,5.79e-05,140.267
7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,Dylan Conrique,60,221292,"['alt z', 'social media pop']",74,Birthday Cake,0.436,0.255,0.0364,3.28e-05,113.265
6PaWZ0PIMxx15YBgCohvXY,Gilded Lily,Cults,74,529510,"['experimental pop', 'indie pop', 'indie surf', 'pop']",82,Offering,0.4,0.571,0.0288,3.05e-05,61.859
4vb777iaycnlFxVkJMmtfd,Peru,Fireboy DML,72,1328421,['afro dancehall'],70,Playboy,0.956,0.417,0.0926,0.00071,108.015
76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,77,171477,['alt z'],92,SNAP,0.565,0.636,0.0638,9.9e-06,170.01
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,80,364819,"['gen z singer-songwriter', 'pop']",88,Until I Found You,0.539,0.508,0.0288,0.0,101.358
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,70,548505,['modern alternative pop'],85,abcdefu,0.695,0.54,0.0493,0.0,121.932
2WObGIQXhjveq6yuXvf6VQ,"Balling (feat. Songer, Mr Traumatik, Devilman & OneDa) - Edit",Vibe Chemistry,58,37983,[],63,"Balling (feat. Songer, Mr Traumatik, Devilman & OneDa) [Edit]",0.819,0.741,0.0968,0.0,87.016
4lqqbSHGGR5BRtnmnky00G,Shen Yeng Anthem,Shenseea,64,490853,"['dancehall', 'dancehall queen']",61,Shen Yeng Anthem,0.67,0.823,0.295,0.0,105.739
7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Alok,80,11946626,"['electro house', 'pop nacional', 'slap house']",81,Deep Down (feat. Never Dull),0.687,0.818,0.0778,0.0,125.952
6lyjWvSUgYtX26zfrQ6gn8,Keeping Your Head Up,Birdy,72,3624688,['pop'],56,Beautiful Lies,0.599,0.78,0.0527,0.0,122.077
4zN21mbAuaD0WqtmaTZZeP,Ferrari,James Hype,74,202065,"['deep groove house', 'edm', 'house', 'pop dance', 'uk dance']",87,Ferrari,0.847,0.69,0.0493,6e-05,125.004
33LFIMKizfQaC2RFeYLQXw,Mockingbird - Remix,E1 (3x3),61,37908,['uk drill'],67,Mockingbird (Remix),0.661,0.601,0.316,0.0,145.249
6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer Smith,71,831713,"['alt z', 'gen z singer-songwriter', 'pop']",78,Flowers,0.684,0.449,0.611,0.0,66.165
6uvh0In7u1Xn4HgxOfAn8O,Matilda,Harry Styles,90,25087969,['pop'],83,Harry's House,0.507,0.294,0.04,1.97e-05,114.199
3fvsxmytTns1ApIWBqfANZ,Temptation (feat. Poppy Baskcomb),Jess Bays,52,7512,"['deep groove house', 'house', 'uk dance']",61,Temptation (feat. Poppy Baskcomb),0.744,0.703,0.048,0.00449,125.023
7rWgGyRK7RAqAAXy4bLft9,Angeleyes,ABBA,80,9316150,"['europop', 'swedish pop']",75,Voulez-Vous,0.719,0.922,0.0338,0.000163,133.113
0nCgsAki7e7I243CUblGxU,Stan Smith,Alcemist,53,23731,['bass house'],66,Stan Smith,0.698,0.869,0.334,0.000468,174.868
74loibzxXRL875X20kenvk,Poland,Lil Yachty,78,8584739,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap']",82,Poland,0.695,0.555,0.0509,0.826,150.024
22pjmqZq2oTZtEThEt66Zn,Don't Forget My Love,Diplo,79,2518258,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",63,Diplo,0.638,0.875,0.0413,0.0149,121.035
3cjvqsvvU80g7WJPMVh8iq,Genesis,Grimes,70,1861042,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",69,Visions,0.611,0.677,0.034,0.0698,166.04
63WuQOXohQIxOxIFA2K7bR,SUPERMODEL,Måneskin,81,6604318,"['indie rock italiano', 'italian pop']",80,SUPERMODEL,0.636,0.876,0.0555,0.0,120.983
0AzD1FEuvkXP1verWfaZdv,Cbat,Hudson Mohawke,50,130571,"['electronica', 'purple sound', 'scottish electronic', 'scottish hip hop', 'uk bass', 'uk experimental electronic', 'wonky']",59,Satin Panthers,0.58,0.52,0.42,0.831,159.722
1FxSStcuz43FhiB5KAFWc0,Hold This,HStikkytokky,50,7150,[],65,Hold This,0.905,0.588,0.107,0.0,125.038
4L46K80df67euDfM7pzkS9,Oslo,Lil Macks,52,26465,"['uk hip hop', 'uk melodic rap']",56,Oslo,0.8,0.292,0.0543,0.104,124.004
0KQRhak4Irr2CKxgQ9U6ay,MEAN!,Madeline The Person,55,47201,['gen z singer-songwriter'],70,MEAN!,0.502,0.416,0.433,0.0,175.191
1fDFHXcykq4iw8Gg7s5hG9,About You,The 1975,82,6130895,"['modern alternative rock', 'modern rock', 'pop', 'rock']",84,Being Funny In A Foreign Language,0.416,0.762,0.0279,0.804,95.967
0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,"Tyler, The Creator",85,10144581,"['hip hop', 'rap']",82,IGOR,0.621,0.73,0.107,0.000131,139.566
2MAEd35YAuGXXCifA2M1Wz,Eye Tell (!),Jim Legxacy,46,13718,['uk alternative hip hop'],55,Eye Tell (!),0.713,0.644,0.393,0.0,121.129
3XREkzDHsWdBL5tybyCDBH,SloMo,Chanel,54,50944,[],66,SloMo,0.728,0.814,0.0571,0.00448,104.962
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,87,14229732,"['melodic rap', 'philly rap', 'rap', 'trap']",90,Just Wanna Rock,0.486,0.545,0.0336,0.00474,150.187
3PIFmXwdhCKITMmWQqXhef,"Essex Girls (feat. Jaykae, Silky & Janice Robinson)",Rude Kid,45,13656,"['grime', 'instrumental grime']",60,"Essex Girls (feat. Jaykae, Silky & Janice Robinson)",0.562,0.756,0.137,0.0,130.97
21m2jxB9DSn9ZkFsGip8fd,Mr Worldwide,Pete & Bas,53,124581,[],60,Mr Worldwide,0.798,0.918,0.192,3.49e-06,139.949
0wrs5ucXutScEWOhdWdGBB,Forbidden Feelingz,Nia Archives,60,54149,['uk alternative hip hop'],66,Forbidden Feelingz,0.513,0.799,0.14,0.23,108.43
2WG0gMuRku7LfFObheSXID,tonight belongs to you,Bissett,45,15563,"['deep groove house', 'house', 'irish electronic', 'pop dance', 'uk dance']",56,tonight belongs to you,0.617,0.794,0.0415,7.01e-05,149.796
5C29RTtzXBODKoZn0aB4zb,FOUND LOVE (feat. Carrie Baxter),NOTION,58,40315,['bass house'],60,FOUND LOVE (feat. Carrie Baxter),0.754,0.795,0.256,0.271,130.049
0KHEVmVC6BJyVmUqaR7Lng,DJ Party (Monster),wewantwraiths,60,61450,"['uk hip hop', 'uk melodic rap']",54,DJ Party (Monster),0.816,0.414,0.329,0.0,114.956
3ncmoWTwJgx63LwMTyBCXf,Hrs & Hrs,Muni Long,64,202890,"['indie r&b', 'pop', 'pop r&b', 'r&b', 'rap', 'urban contemporary']",75,Public Displays Of Affection: The Album,0.52,0.546,0.213,0.0,137.419
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,85,11118310,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",92,I Love You.,0.612,0.807,0.0336,0.0177,124.053
